titulo,descripcion,categoria,latitud,longitud,fechaAcontecimiento,multimedia
Exposición de fotografía,Muestra de fotógrafos locales sobre paisajes patagónicos,evento,-48.6685,-70.1134,2025-02-14T14:39,http://example.com/36
Corte de agua por obras viales,Excavaciones para ampliación de avenida cortaron cañería principal,cortes,-40.7322,-62.4776,2025-03-22T08:31,http://example.com/37
Festival de teatro callejero,Compañías locales realizaron obras en espacios públicos,evento,-54.4071,-63.5817,2025-12-10T08:11,http://example.com/38
Explosión en fábrica,Una explosión en una planta industrial dejó varios heridos y daños materiales,accidente,-44.3465,-53.7145,2025-06-02T17:03,http://example.com/39
Explosión en fábrica,Una explosión en una planta industrial dejó varios heridos y daños materiales,accidente,-26.9458,-57.3401,2025-04-16T05:05,http://example.com/40
Festival de cine independiente,Proyecciones al aire libre de cortometrajes nacionales e internacionales,evento,-35.3695,-55.0594,2025-06-11T04:40,http://example.com/41
Sequía afecta ganadería,Falta de lluvias complica producción ganadera en zona semiárida,evento,-37.2599,-61.4511,2025-06-23T11:11,http://example.com/42
Derrumbe parcial de edificio,Un edificio antiguo sufrió un derrumbe parcial en su fachada,accidente,-43.7048,-66.8061,2025-04-26T08:41,http://example.com/43
Derrumbe en obra en construcción,Un andamio colapsó en una obra en construcción hiriendo a dos operarios,accidente,-42.1936,-69.3884,2025-11-30T14:00,http://example.com/44
Festival de cine independiente,Proyecciones al aire libre de cortometrajes nacionales e internacionales,evento,-38.8033,-72.4395,2025-12-17T02:27,http://example.com/45
Protesta de trabajadores municipales,Empleados municipales realizaron huelga por incumplimiento de paritarias,evento,-28.3551,-60.0326,2025-08-21T10:06,http://example.com/46
Corte de luz por tormenta,Fuertes vientos derribaron postes dejando sin luz a miles de hogares,cortes,-36.735,-60.8214,2025-05-18T12:16,http://example.com/47
Accidente de tránsito nocturno,Choque frontal entre dos autos en ruta provincial a la madrugada,accidente,-35.9926,-54.1811,2025-09-21T11:47,http://example.com/48
Marcha por la seguridad,Vecinos exigieron más patrullajes tras serie de robos en el barrio,evento,-36.7838,-72.5622,2025-06-27T16:37,http://example.com/49
Interrupción de servicio eléctrico,Falla en subestación eléctrica cortó el suministro por horas,cortes,-40.9353,-59.6193,2025-07-09T03:59,http://example.com/50
Corte de gas por fuga,Técnicos cortaron el suministro ante una fuga en red secundaria,cortes,-26.351,-67.9362,2025-12-14T01:23,http://example.com/51
Maratón nocturna,Competencia nocturna convocó a más de mil participantes,evento,-25.8513,-64.1214,2025-10-31T03:21,http://example.com/52
Colisión en cruce ferroviario,Auto chocó contra barrera de paso a nivel,accidente,-42.3929,-62.7448,2025-07-14T06:28,http://example.com/53
Caída de puente peatonal,Sección de puente peatonal cedió por sobrepeso,accidente,-43.8542,-65.1957,2025-05-06T10:10,http://example.com/54
Colisión en cruce ferroviario,Auto chocó contra barrera de paso a nivel,accidente,-31.599,-64.3085,2025-08-12T11:22,http://example.com/55
Manifestación estudiantil,Estudiantes universitarios tomaron las calles por recortes en educación,evento,-29.7426,-68.3576,2025-10-09T00:54,http://example.com/56
Marcha por el medio ambiente,Activistas reclamaron por la contaminación de un río local,evento,-32.7809,-58.8612,2025-07-04T10:32,http://example.com/57
Derrumbe en obra en construcción,Un andamio colapsó en una obra en construcción hiriendo a dos operarios,accidente,-42.327,-70.1656,2025-08-10T04:26,http://example.com/58
Maratón nocturna,Competencia nocturna convocó a más de mil participantes,evento,-43.4184,-73.4455,2025-09-12T20:38,http://example.com/59
Feria de emprendedores,Más de cien emprendedores locales exhibieron sus productos,evento,-39.6421,-66.6603,2025-05-10T20:20,http://example.com/60
Feria del trueque,Vecinos intercambiaron productos y servicios sin dinero,evento,-30.0663,-56.3179,2025-04-11T22:21,http://example.com/61
Exposición de fotografía,Muestra de fotógrafos locales sobre paisajes patagónicos,evento,-32.8785,-56.7732,2025-07-16T08:41,http://example.com/62
Ola de calor extremo,Temperaturas superaron los 40 grados en varias provincias del norte,evento,-42.7687,-63.7274,2025-12-14T21:38,http://example.com/63
Festival de cine independiente,Proyecciones al aire libre de cortometrajes nacionales e internacionales,evento,-50.4636,-70.4983,2025-03-02T17:58,http://example.com/64
Corte de ruta por protesta,Productores agropecuarios cortaron ruta nacional en reclamo de precios,evento,-38.7109,-72.1335,2025-05-02T11:02,http://example.com/65
Camión volcado en rotonda,Un camión cisterna volcó al tomar mal una rotonda,accidente,-23.0832,-70.2997,2025-05-18T14:41,http://example.com/66
Paro de médicos en hospital público,Profesionales de la salud pararon en reclamo de insumos,evento,-39.4069,-58.985,2025-04-04T07:07,http://example.com/67
Corte de luz en zona rural,Granizo dañó líneas de alta tensión dejando pueblos sin electricidad,cortes,-46.843,-53.7618,2025-08-21T20:34,http://example.com/68
Interrupción telefónica masiva,Falla en central telefónica dejó sin servicio a zona comercial,cortes,-35.5481,-67.4944,2025-09-15T13:08,http://example.com/69
Festival de danza folclórica,Grupos de danza de distintas provincias actuaron en el parque,evento,-52.7998,-58.1696,2025-08-20T16:27,http://example.com/70
Incendio en depósito,Un depósito de materiales inflamables se incendió en zona industrial,accidente,-38.8432,-70.4033,2025-09-12T15:24,http://example.com/71
Torneo de básquet femenino,Equipos de toda la provincia compitieron en el torneo regional,evento,-33.7251,-68.4605,2025-05-22T13:53,http://example.com/72
Desfile de carnaval,Colorido desfile de comparsas recorrió las calles del centro,evento,-48.5168,-72.2357,2025-08-25T09:17,http://example.com/73
Granizo destruye cultivos,Fuerte granizada afectó hectáreas de producción agrícola,evento,-31.8415,-71.6895,2025-05-21T10:27,http://example.com/74
Torneo de fútbol barrial,Equipos de distintos barrios disputaron el torneo de verano,evento,-53.6406,-66.6741,2025-12-15T10:48,http://example.com/75
Manifestación estudiantil,Estudiantes universitarios tomaron las calles por recortes en educación,evento,-27.3085,-54.2547,2025-04-22T23:44,http://example.com/76
Apagón por sobrecarga,Exceso de demanda eléctrica provocó corte en varios barrios,cortes,-44.6322,-63.2096,2025-09-15T03:10,http://example.com/77
Corte de internet masivo,Falla en nodo principal dejó sin servicio a miles de usuarios,cortes,-47.4739,-70.1567,2025-12-01T16:47,http://example.com/78
Feria de ropa usada,Gran cantidad de ropa de segunda mano a precios accesibles,evento,-50.0238,-68.6176,2025-11-24T11:39,http://example.com/79
Corte de ruta por protesta,Productores agropecuarios cortaron ruta nacional en reclamo de precios,evento,-33.0254,-61.1764,2025-06-27T00:52,http://example.com/80
Protesta de trabajadores municipales,Empleados municipales realizaron huelga por incumplimiento de paritarias,evento,-30.8689,-72.1427,2025-12-22T16:50,http://example.com/81
Desfile de carnaval,Colorido desfile de comparsas recorrió las calles del centro,evento,-41.7184,-61.6489,2025-06-20T21:43,http://example.com/82
Nevadas en zona cordillerana,Importante acumulación de nieve cortó pasos montañosos,evento,-28.9856,-66.7282,2025-12-30T12:12,http://example.com/83
Caída de árbol sobre auto,Un árbol caído por el viento aplastó un vehículo estacionado,accidente,-52.5562,-62.9239,2025-07-14T20:11,http://example.com/84
Corte de agua por contaminación,Se suspendió el servicio por detección de contaminantes en red,cortes,-53.1244,-54.4425,2025-11-26T12:28,http://example.com/85
Festival de jazz en plaza,Músicos locales e internacionales animaron la noche en plaza central,evento,-30.232,-61.1947,2025-05-13T01:40,http://example.com/86
Nevadas en zona cordillerana,Importante acumulación de nieve cortó pasos montañosos,evento,-44.5292,-65.3811,2025-11-10T16:18,http://example.com/87
Tornado en zona pampeana,Un pequeño tornado destruyó estructuras en localidad rural,evento,-28.6331,-64.6207,2025-10-02T04:10,http://example.com/88
Maratón solidaria,Cientos de corredores participaron en carrera a beneficio de un hospital,evento,-26.2083,-64.3856,2025-03-15T04:58,http://example.com/89
Sequía afecta ganadería,Falta de lluvias complica producción ganadera en zona semiárida,evento,-47.5418,-63.6292,2025-10-08T18:26,http://example.com/90
Feria de emprendedores,Más de cien emprendedores locales exhibieron sus productos,evento,-45.3551,-63.144,2025-12-04T03:16,http://example.com/91
Inauguración de mural comunitario,Vecinos y artistas pintaron un mural en la pared de la escuela,evento,-29.471,-59.1007,2025-02-14T21:47,http://example.com/92
Incendio en vivienda familiar,Un corto circuito desató un incendio que consumió dos habitaciones,accidente,-50.1414,-63.3277,2025-08-26T03:35,http://example.com/93
Marcha por la seguridad,Vecinos exigieron más patrullajes tras serie de robos en el barrio,evento,-52.6984,-60.6862,2025-10-21T22:33,http://example.com/94
Caída de árbol sobre auto,Un árbol caído por el viento aplastó un vehículo estacionado,accidente,-37.447,-55.5152,2025-07-01T03:45,http://example.com/95
Corte de luz en zona rural,Granizo dañó líneas de alta tensión dejando pueblos sin electricidad,cortes,-51.464,-67.2226,2025-12-07T12:49,http://example.com/96
Corte de agua por obras viales,Excavaciones para ampliación de avenida cortaron cañería principal,cortes,-47.8228,-59.1659,2025-04-29T18:20,http://example.com/97
Paro de transporte público,Choferes de colectivos realizaron paro por 24 horas,evento,-22.3077,-59.1366,2025-10-15T21:08,http://example.com/98
Helada tardía daña viñedos,Una helada fuera de temporada afectó producción vitivinícola,evento,-49.4757,-67.7993,2025-11-15T18:10,http://example.com/99
Choque múltiple en niebla,Tres vehículos colisionaron por baja visibilidad,accidente,-41.609,-55.9124,2025-09-01T09:48,http://example.com/100
Helada tardía daña viñedos,Una helada fuera de temporada afectó producción vitivinícola,evento,-46.9418,-61.5849,2025-10-02T02:42,http://example.com/101
Choque entre camiones,Colisión entre dos camiones de carga en ruta nacional,accidente,-40.2001,-57.1133,2025-06-14T11:58,http://example.com/102
Interrupción de servicio eléctrico,Falla en subestación eléctrica cortó el suministro por horas,cortes,-44.7049,-70.2739,2025-04-21T00:51,http://example.com/103
Feria agroecológica,Productores locales ofrecieron frutas y verduras orgánicas,evento,-24.0104,-59.2652,2025-05-14T19:37,http://example.com/104
Paro de transporte público,Choferes de colectivos realizaron paro por 24 horas,evento,-50.7333,-65.9936,2025-11-27T04:06,http://example.com/105
Torneo de ajedrez escolar,Estudiantes de primaria y secundaria compitieron en torneo municipal,evento,-24.7402,-64.6971,2025-05-20T09:40,http://example.com/106
Feria de emprendedores,Más de cien emprendedores locales exhibieron sus productos,evento,-53.9679,-66.0669,2025-07-08T00:41,http://example.com/107
Colisión en cruce ferroviario,Auto chocó contra barrera de paso a nivel,accidente,-36.1265,-67.0326,2025-10-01T11:24,http://example.com/108
Interrupción telefónica masiva,Falla en central telefónica dejó sin servicio a zona comercial,cortes,-46.5309,-72.2437,2025-11-14T16:11,http://example.com/109
Feria del libro infantil,Gran convocatoria en la feria de literatura para niños y jóvenes,evento,-40.3283,-72.685,2025-10-01T01:43,http://example.com/110
Crecida del río amenaza pueblos,El nivel del río superó el umbral de alerta en tres localidades,evento,-43.111,-70.8183,2025-12-06T02:54,http://example.com/111
Paro de transporte público,Choferes de colectivos realizaron paro por 24 horas,evento,-44.5997,-71.3212,2025-04-03T01:40,http://example.com/112
Torneo de fútbol barrial,Equipos de distintos barrios disputaron el torneo de verano,evento,-49.3896,-54.2648,2025-03-14T06:25,http://example.com/113
Protesta de comerciantes,Comerciantes del centro cerraron sus negocios en señal de protesta,evento,-24.0186,-58.851,2025-08-09T22:09,http://example.com/114
Temporal de viento,Ráfagas de hasta 100 km/h volaron techos y derribaron postes,evento,-32.5242,-60.9898,2025-11-05T00:53,http://example.com/115
Choque múltiple en niebla,Tres vehículos colisionaron por baja visibilidad,accidente,-22.3913,-68.5926,2025-12-14T23:14,http://example.com/116
Corte de agua por obras viales,Excavaciones para ampliación de avenida cortaron cañería principal,cortes,-44.5603,-68.9582,2025-09-24T03:29,http://example.com/117
Ola de calor extremo,Temperaturas superaron los 40 grados en varias provincias del norte,evento,-51.7724,-62.8209,2025-06-02T17:08,http://example.com/118
Inundación en barrio bajo,Lluvias intensas anegaron calles y viviendas en zona inundable,evento,-39.8012,-68.8564,2025-07-28T02:41,http://example.com/119
Torneo de básquet femenino,Equipos de toda la provincia compitieron en el torneo regional,evento,-30.9874,-67.1323,2025-12-10T12:03,http://example.com/120
Manifestación de vecinos,Vecinos cortaron calle para reclamar por baches y falta de alumbrado,evento,-44.822,-67.6536,2025-07-21T02:15,http://example.com/121
Sequía afecta ganadería,Falta de lluvias complica producción ganadera en zona semiárida,evento,-50.9846,-66.8914,2025-02-17T07:37,http://example.com/122
Feria de ciencias escolar,Alumnos de secundaria presentaron proyectos científicos innovadores,evento,-53.8787,-68.2363,2025-10-03T19:28,http://example.com/123
Tornado en zona pampeana,Un pequeño tornado destruyó estructuras en localidad rural,evento,-30.4691,-67.1803,2025-12-08T08:24,http://example.com/124
Explosión en fábrica,Una explosión en una planta industrial dejó varios heridos y daños materiales,accidente,-30.6345,-54.0772,2025-12-27T03:05,http://example.com/125
Corte de internet masivo,Falla en nodo principal dejó sin servicio a miles de usuarios,cortes,-52.7407,-69.7147,2025-05-29T05:25,http://example.com/126
Corte de internet masivo,Falla en nodo principal dejó sin servicio a miles de usuarios,cortes,-29.8007,-71.8952,2025-07-03T18:46,http://example.com/127
Marcha por la seguridad,Vecinos exigieron más patrullajes tras serie de robos en el barrio,evento,-42.2016,-58.2857,2025-02-15T22:02,http://example.com/128
Accidente de moto en autopista,Motociclista perdió el control a alta velocidad y resultó herido,accidente,-49.8079,-69.0499,2025-11-07T20:38,http://example.com/129
Temporal de viento,Ráfagas de hasta 100 km/h volaron techos y derribaron postes,evento,-23.395,-69.8902,2025-06-10T05:11,http://example.com/130
Inundación en barrio bajo,Lluvias intensas anegaron calles y viviendas en zona inundable,evento,-49.6241,-66.5498,2025-02-18T09:45,http://example.com/131
Tornado en zona pampeana,Un pequeño tornado destruyó estructuras en localidad rural,evento,-42.56,-70.6982,2025-08-25T07:05,http://example.com/132
Protesta de trabajadores municipales,Empleados municipales realizaron huelga por incumplimiento de paritarias,evento,-39.3422,-71.3254,2025-11-29T05:19,http://example.com/133
Accidente de tránsito nocturno,Choque frontal entre dos autos en ruta provincial a la madrugada,accidente,-54.4774,-61.5955,2025-10-25T17:48,http://example.com/134
Inundación en barrio bajo,Lluvias intensas anegaron calles y viviendas en zona inundable,evento,-32.047,-61.9645,2025-06-10T01:49,http://example.com/135
Incendio en vivienda familiar,Un corto circuito desató un incendio que consumió dos habitaciones,accidente,-51.8994,-68.7865,2025-11-11T00:17,http://example.com/136
Choque entre camiones,Colisión entre dos camiones de carga en ruta nacional,accidente,-43.6307,-67.0021,2025-11-07T08:00,http://example.com/137
Desfile de carnaval,Colorido desfile de comparsas recorrió las calles del centro,evento,-53.798,-55.7246,2025-10-22T21:15,http://example.com/138
Torneo de básquet femenino,Equipos de toda la provincia compitieron en el torneo regional,evento,-32.8685,-58.1318,2025-10-05T13:33,http://example.com/139
Temporal de viento,Ráfagas de hasta 100 km/h volaron techos y derribaron postes,evento,-51.6986,-71.9234,2025-11-20T02:45,http://example.com/140
Desfile de carnaval,Colorido desfile de comparsas recorrió las calles del centro,evento,-46.5884,-53.734,2025-06-27T20:00,http://example.com/141
Choque entre camiones,Colisión entre dos camiones de carga en ruta nacional,accidente,-54.2736,-59.142,2025-09-06T23:59,http://example.com/142
Maratón solidaria,Cientos de corredores participaron en carrera a beneficio de un hospital,evento,-36.4636,-62.0481,2025-08-21T08:41,http://example.com/143
Granizo destruye cultivos,Fuerte granizada afectó hectáreas de producción agrícola,evento,-37.6932,-72.7411,2025-11-15T09:59,http://example.com/144
Corte de luz por vandalismo,Robo de cables dejó sin electricidad a todo un barrio,cortes,-45.3633,-56.9891,2025-10-01T08:11,http://example.com/145
Crecida del río amenaza pueblos,El nivel del río superó el umbral de alerta en tres localidades,evento,-22.0192,-63.5569,2025-06-10T19:06,http://example.com/146
Granizo destruye cultivos,Fuerte granizada afectó hectáreas de producción agrícola,evento,-40.5766,-62.8143,2025-03-31T23:32,http://example.com/147
Choque tren-camión,Un camión quedó atrapado en las vías y fue embestido por un tren,accidente,-37.4696,-65.2598,2025-12-23T18:32,http://example.com/148
Corte de gas por fuga,Técnicos cortaron el suministro ante una fuga en red secundaria,cortes,-37.0728,-59.5591,2025-04-07T00:59,http://example.com/149
Festival de danza folclórica,Grupos de danza de distintas provincias actuaron en el parque,evento,-30.3296,-71.0953,2025-09-08T14:40,http://example.com/150
Maratón nocturna,Competencia nocturna convocó a más de mil participantes,evento,-43.5364,-71.6048,2025-10-22T05:45,http://example.com/151
Corte de agua en zona industrial,Mantenimiento de emergencia en planta potabilizadora,cortes,-24.6414,-58.4872,2025-11-10T20:25,http://example.com/152
Feria agroecológica,Productores locales ofrecieron frutas y verduras orgánicas,evento,-31.9704,-68.3256,2025-05-20T19:18,http://example.com/153
Vuelco de colectivo,Un colectivo de larga distancia volcó en la banquina sin víctimas fatales,accidente,-21.9207,-54.7066,2025-03-26T16:24,http://example.com/154
Derrumbe parcial de edificio,Un edificio antiguo sufrió un derrumbe parcial en su fachada,accidente,-42.256,-62.9039,2025-03-24T22:45,http://example.com/155
Feria del trueque,Vecinos intercambiaron productos y servicios sin dinero,evento,-29.9533,-56.6173,2025-02-16T22:43,http://example.com/156
Inauguración de mural comunitario,Vecinos y artistas pintaron un mural en la pared de la escuela,evento,-30.2047,-57.4747,2025-12-16T05:20,http://example.com/157
Incendio en depósito,Un depósito de materiales inflamables se incendió en zona industrial,accidente,-34.4606,-64.4676,2025-12-26T17:24,http://example.com/158
Feria del libro infantil,Gran convocatoria en la feria de literatura para niños y jóvenes,evento,-24.0732,-68.7562,2025-10-28T22:10,http://example.com/159
Feria de antigüedades,Coleccionistas y curiosos se dieron cita en la feria de objetos vintage,evento,-28.5246,-61.9628,2025-09-27T22:47,http://example.com/160
Ola de calor extremo,Temperaturas superaron los 40 grados en varias provincias del norte,evento,-50.8567,-65.5263,2025-06-30T03:48,http://example.com/161
Paro de transporte público,Choferes de colectivos realizaron paro por 24 horas,evento,-35.5482,-63.4327,2025-08-06T06:43,http://example.com/162
Interrupción de servicio eléctrico,Falla en subestación eléctrica cortó el suministro por horas,cortes,-22.2385,-65.3028,2025-04-23T07:20,http://example.com/163
Torneo de ajedrez escolar,Estudiantes de primaria y secundaria compitieron en torneo municipal,evento,-31.1432,-70.4379,2025-03-18T19:16,http://example.com/164
Concierto de folklore,Artistas nacionales celebraron el folklore argentino en auditorio municipal,evento,-52.3696,-72.2625,2025-07-21T06:46,http://example.com/165
Inauguración de mural comunitario,Vecinos y artistas pintaron un mural en la pared de la escuela,evento,-54.2018,-62.6531,2025-05-05T22:39,http://example.com/166
Feria agroecológica,Productores locales ofrecieron frutas y verduras orgánicas,evento,-24.0214,-67.2709,2025-07-19T05:45,http://example.com/167
Choque múltiple en niebla,Tres vehículos colisionaron por baja visibilidad,accidente,-32.5926,-68.6005,2025-11-04T01:55,http://example.com/168
Ola de calor extremo,Temperaturas superaron los 40 grados en varias provincias del norte,evento,-53.2562,-59.0017,2025-09-17T06:07,http://example.com/169
Corte de gas programado,La empresa distribuidora realizó corte para mantenimiento preventivo,cortes,-27.9969,-68.6158,2025-04-30T07:24,http://example.com/170
Feria de antigüedades,Coleccionistas y curiosos se dieron cita en la feria de objetos vintage,evento,-24.916,-68.2133,2025-06-23T20:46,http://example.com/171
Incendio en depósito,Un depósito de materiales inflamables se incendió en zona industrial,accidente,-51.1574,-69.5381,2025-06-22T23:07,http://example.com/172
Corte de agua por contaminación,Se suspendió el servicio por detección de contaminantes en red,cortes,-49.4228,-68.4959,2025-09-30T08:02,http://example.com/173
Corte de gas por fuga,Técnicos cortaron el suministro ante una fuga en red secundaria,cortes,-35.3284,-71.5145,2025-06-07T19:45,http://example.com/174
Explosión en fábrica,Una explosión en una planta industrial dejó varios heridos y daños materiales,accidente,-41.811,-55.6433,2025-05-26T19:47,http://example.com/175
Manifestación de vecinos,Vecinos cortaron calle para reclamar por baches y falta de alumbrado,evento,-27.7677,-67.5266,2025-09-13T13:30,http://example.com/176
Protesta de comerciantes,Comerciantes del centro cerraron sus negocios en señal de protesta,evento,-25.3805,-56.9472,2025-08-20T18:39,http://example.com/177
Corte de internet masivo,Falla en nodo principal dejó sin servicio a miles de usuarios,cortes,-25.7747,-60.2484,2025-12-02T07:10,http://example.com/178
Feria de ropa usada,Gran cantidad de ropa de segunda mano a precios accesibles,evento,-22.5459,-65.7271,2025-02-27T06:54,http://example.com/179
Exposición de fotografía,Muestra de fotógrafos locales sobre paisajes patagónicos,evento,-35.8766,-68.1947,2025-10-07T20:05,http://example.com/180
Interrupción de servicio eléctrico,Falla en subestación eléctrica cortó el suministro por horas,cortes,-49.7591,-72.2746,2025-08-09T23:25,http://example.com/181
Torneo de ajedrez escolar,Estudiantes de primaria y secundaria compitieron en torneo municipal,evento,-47.9409,-72.3089,2025-10-13T21:28,http://example.com/182
Corte de luz en zona rural,Granizo dañó líneas de alta tensión dejando pueblos sin electricidad,cortes,-25.3038,-57.3419,2025-07-21T10:19,http://example.com/183
Feria del trueque,Vecinos intercambiaron productos y servicios sin dinero,evento,-34.3629,-68.859,2025-05-05T11:02,http://example.com/184
Festival de danza folclórica,Grupos de danza de distintas provincias actuaron en el parque,evento,-44.0504,-63.7025,2025-05-26T00:03,http://example.com/185
Sequía afecta ganadería,Falta de lluvias complica producción ganadera en zona semiárida,evento,-47.4909,-67.9319,2025-12-15T10:37,http://example.com/186
Apagón por sobrecarga,Exceso de demanda eléctrica provocó corte en varios barrios,cortes,-36.6954,-60.3137,2025-04-14T15:06,http://example.com/187
Accidente de moto en autopista,Motociclista perdió el control a alta velocidad y resultó herido,accidente,-31.8359,-62.7479,2025-12-03T19:53,http://example.com/188
Festival de cine independiente,Proyecciones al aire libre de cortometrajes nacionales e internacionales,evento,-50.739,-72.8194,2025-05-11T21:21,http://example.com/189
Feria agroecológica,Productores locales ofrecieron frutas y verduras orgánicas,evento,-29.0935,-66.5499,2025-02-24T15:36,http://example.com/190
Accidente de moto en autopista,Motociclista perdió el control a alta velocidad y resultó herido,accidente,-47.0003,-64.507,2025-02-14T15:54,http://example.com/191
Caída de puente peatonal,Sección de puente peatonal cedió por sobrepeso,accidente,-34.3263,-70.6777,2025-10-18T09:24,http://example.com/192
Festival de danza folclórica,Grupos de danza de distintas provincias actuaron en el parque,evento,-37.9162,-63.6273,2025-02-20T00:38,http://example.com/193
Corte de luz por tormenta,Fuertes vientos derribaron postes dejando sin luz a miles de hogares,cortes,-49.8688,-58.0416,2025-04-29T23:45,http://example.com/194
Colisión en cruce ferroviario,Auto chocó contra barrera de paso a nivel,accidente,-34.3552,-63.8096,2025-08-03T20:33,http://example.com/195
Feria del trueque,Vecinos intercambiaron productos y servicios sin dinero,evento,-39.861,-69.0166,2025-12-19T16:01,http://example.com/196
Feria de ciencias escolar,Alumnos de secundaria presentaron proyectos científicos innovadores,evento,-36.3062,-58.5275,2025-09-28T20:22,http://example.com/197
Protesta de docentes,Maestros marcharon al ministerio reclamando mejoras salariales,evento,-39.1217,-59.9063,2025-04-12T10:49,http://example.com/198
Derrumbe parcial de edificio,Un edificio antiguo sufrió un derrumbe parcial en su fachada,accidente,-50.4557,-65.5206,2025-04-02T02:59,http://example.com/199
Marcha por la seguridad,Vecinos exigieron más patrullajes tras serie de robos en el barrio,evento,-34.2377,-69.0373,2025-12-30T04:16,http://example.com/200
Torneo de fútbol barrial,Equipos de distintos barrios disputaron el torneo de verano,evento,-24.4675,-72.5044,2025-10-05T09:17,http://example.com/201
Marcha por la seguridad,Vecinos exigieron más patrullajes tras serie de robos en el barrio,evento,-43.7373,-65.8816,2025-10-13T09:39,http://example.com/202
Exposición de fotografía,Muestra de fotógrafos locales sobre paisajes patagónicos,evento,-43.3809,-71.499,2025-12-10T04:40,http://example.com/203
